pitch_velocity,batterId,pitcherId,batter_side,pitcher_side,pitch_movement_x,pitch_movement_y,plate_x,plate_y,bat_speed,swing_length,pitch_zone,outs,balls,strikes,bat_score,fld_score,launch_angle,launch_speed
93.3,683737,695076,L,R,-0.88,1.12,0.49,2.56,61.3,5.9,6,2,0,0,0,0,43.0,71.8
90.9,691023,596295,R,L,0.43,1.08,0.22,2.83,83.1,7.9,5,1,2,2,2,1,-44.0,91.2
97.3,578428,680885,R,R,-0.3,0.87,0.08,3.45,65.4,5.7,12,0,0,1,0,0,54.0,87.1
80.8,665161,663423,R,R,1.68,-0.06,0.19,3.14,75.7,7.0,2,0,0,1,4,3,27.0,66.0
85.3,668709,676106,L,R,0.36,0.17,0.35,2.18,66.4,7.3,6,1,1,2,0,0,12.0,74.3
87.3,678662,681676,R,R,0.15,-0.08,-0.38,2.5,67.9,6.6,4,2,3,2,6,8,24.0,93.7
92.1,650333,694297,L,R,-0.56,1.34,0.3,2.71,68.6,6.4,6,0,0,0,1,7,20.0,103.4
80.6,687401,493603,R,R,1.41,0.19,1.31,1.63,58.3,7.7,14,2,1,2,7,2,35.0,58.3
85.7,683734,663554,R,R,0.25,-0.11,0.41,2.45,71.0,7.2,6,2,1,2,5,0,-5.0,102.7
91.0,607208,665871,R,R,-0.22,1.31,0.6,3.15,68.4,6.7,3,2,1,2,3,0,-6.0,91.9
94.5,642136,683568,L,R,-1.32,0.92,-0.49,1.77,70.2,8.3,7,0,0,0,0,7,27.0,84.1
80.0,668939,641927,L,R,0.96,0.4,-0.16,2.39,71.8,7.0,5,0,0,2,0,2,54.0,89.3
77.2,606115,664192,R,L,-0.36,-0.2,-0.48,1.56,73.9,8.1,7,2,0,1,1,0,-4.0,100.7
94.5,677008,641835,L,L,1.44,0.8,1.27,3.25,71.5,6.8,12,2,0,0,3,1,11.0,77.0
85.9,467793,687424,L,R,0.01,0.41,-0.65,2.44,74.6,7.6,4,2,2,1,5,5,32.0,84.0
95.7,650489,677960,R,L,0.72,1.18,-0.25,2.86,74.3,6.9,5,2,1,0,1,4,55.0,72.5
80.1,663728,579328,R,L,-0.82,-0.38,-0.13,1.52,77.1,9.0,8,1,0,0,0,1,-28.0,82.3
